購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0002470,M000413,2026-05-17,調味料,1,554
P0002471,M000413,2025-10-01,野菜,2,972
P0002472,M000413,2026-03-01,鮮魚,2,2176
P0002473,M000413,2026-03-11,惣菜,4,2328
P0002474,M000413,2026-05-15,野菜,2,1098
P0002475,M000413,2025-10-25,果物,2,1142
P0002476,M000413,2025-08-30,菓子,2,1018
P0002477,M000414,2025-10-25,精肉,5,5690
P0002478,M000414,2026-05-05,精肉,5,6650
P0002479,M000414,2025-11-02,果物,2,1996
P0002480,M000414,2025-08-25,米・穀物,5,10570
P0002481,M000414,2025-12-07,惣菜,1,678
P0002482,M000415,2026-01-18,調味料,4,1948
P0002483,M000415,2025-08-14,有機食品セット,4,16232
P0002484,M000415,2025-12-04,菓子,2,1348
P0002485,M000415,2025-11-04,米・穀物,4,11964
P0002486,M000415,2025-12-31,惣菜,5,3405
P0002487,M000416,2026-01-19,菓子,5,3125
P0002488,M000416,2025-12-30,精肉,1,1104
P0002489,M000416,2025-10-29,菓子,3,1578
P0002490,M000416,2025-11-02,果物,2,1690
P0002491,M000416,2025-10-21,有機食品セット,3,11025
P0002492,M000416,2025-11-18,米・穀物,4,11200
P0002493,M000416,2025-12-20,惣菜,1,438
P0002494,M000416,2026-06-28,野菜,3,1797
P0002495,M000416,2025-08-01,野菜,1,331
P0002496,M000417,2025-11-10,有機食品セット,3,12012
P0002497,M000417,2025-10-19,調味料,1,479
P0002498,M000417,2025-08-05,飲料,2,844
P0002499,M000417,2025-12-27,惣菜,1,597
P0002500,M000417,2026-05-07,果物,3,1872
P0002501,M000417,2026-01-26,米・穀物,4,11168
P0002502,M000418,2025-10-17,米・穀物,3,8442
P0002503,M000418,2026-02-27,精肉,5,6215
P0002504,M000418,2025-07-02,鮮魚,5,8815
P0002505,M000418,2025-07-14,菓子,2,1002
P0002506,M000418,2026-04-28,菓子,3,2109
P0002507,M000419,2025-07-01,惣菜,1,628
P0002508,M000419,2025-11-10,精肉,5,6560
P0002509,M000419,2026-02-15,鮮魚,5,8130
P0002510,M000419,2026-02-06,惣菜,4,2300
P0002511,M000419,2025-07-26,野菜,5,1630
P0002512,M000420,2025-10-03,精肉,5,6085
P0002513,M000420,2025-09-23,米・穀物,4,8032
P0002514,M000420,2026-02-25,精肉,5,3200
P0002515,M000421,2025-12-01,菓子,1,610
P0002516,M000422,2026-03-28,精肉,5,7450
P0002517,M000422,2026-03-26,飲料,2,740
P0002518,M000422,2026-03-20,飲料,5,2645
P0002519,M000422,2026-05-09,果物,4,3756
P0002520,M000422,2026-03-07,菓子,4,1732
P0002521,M000422,2025-08-04,飲料,5,2640
P0002522,M000422,2026-06-26,鮮魚,3,5175
P0002523,M000422,2026-04-25,惣菜,2,1020
P0002524,M000423,2026-03-15,精肉,2,2946
P0002525,M000423,2026-05-26,果物,1,973
P0002526,M000423,2025-10-04,果物,4,2664
P0002527,M000423,2026-02-21,調味料,4,1848
P0002528,M000423,2026-05-06,菓子,3,1413
P0002529,M000423,2026-06-10,精肉,4,3780
P0002530,M000423,2025-10-29,調味料,3,1407
P0002531,M000423,2026-02-11,有機食品セット,4,13888
P0002532,M000423,2025-09-29,調味料,5,1940
P0002533,M000424,2025-11-13,野菜,3,1458
P0002534,M000424,2026-04-11,野菜,2,932
P0002535,M000424,2026-04-03,有機食品セット,1,4749
P0002536,M000424,2025-09-19,調味料,3,1695
P0002537,M000424,2026-02-18,菓子,3,1503
P0002538,M000424,2025-09-27,鮮魚,3,4326
P0002539,M000424,2026-02-19,菓子,1,572
P0002540,M000425,2025-10-07,野菜,4,2252
P0002541,M000425,2025-09-23,惣菜,1,651
P0002542,M000425,2026-01-05,米・穀物,1,2770
P0002543,M000425,2026-02-18,米・穀物,1,2543
P0002544,M000425,2026-05-08,果物,5,4935
P0002545,M000425,2025-07-21,果物,3,2919
P0002546,M000425,2026-05-17,野菜,5,3325
P0002547,M000425,2025-12-15,菓子,4,2568
P0002548,M000425,2025-10-16,調味料,2,1064
P0002549,M000426,2026-02-18,果物,4,3748
P0002550,M000426,2026-05-24,飲料,4,1568
P0002551,M000426,2025-12-23,野菜,2,770
P0002552,M000426,2025-09-07,飲料,3,588
P0002553,M000427,2026-06-02,米・穀物,2,3820
P0002554,M000427,2025-12-11,惣菜,4,2676
P0002555,M000427,2026-01-03,飲料,2,1026
P0002556,M000427,2026-05-21,惣菜,2,1754
P0002557,M000427,2026-05-28,果物,5,4860
P0002558,M000427,2025-09-03,調味料,1,386
P0002559,M000427,2025-10-31,飲料,4,1568
P0002560,M000428,2025-08-18,果物,1,793
P0002561,M000428,2025-10-25,調味料,5,1100
P0002562,M000428,2026-01-01,調味料,3,1809
P0002563,M000428,2025-12-08,鮮魚,1,1327
P0002564,M000429,2025-10-01,米・穀物,1,3099
P0002565,M000429,2025-09-01,調味料,3,1887
P0002566,M000429,2025-10-02,野菜,1,724
P0002567,M000429,2026-04-01,精肉,4,5104
P0002568,M000429,2025-07-03,飲料,2,868
P0002569,M000429,2025-08-14,有機食品セット,1,3444
P0002570,M000429,2026-05-23,鮮魚,4,5200
P0002571,M000429,2026-06-29,野菜,3,2169
P0002572,M000429,2025-07-14,飲料,1,465
P0002573,M000430,2026-01-30,調味料,2,1084
P0002574,M000431,2026-06-28,菓子,1,767
P0002575,M000431,2025-11-11,米・穀物,5,10795
P0002576,M000431,2026-02-05,鮮魚,5,9690
P0002577,M000431,2025-12-22,果物,2,1940
P0002578,M000432,2026-01-26,惣菜,4,2724
P0002579,M000432,2026-01-17,惣菜,4,2688
P0002580,M000432,2025-08-05,飲料,3,1221
P0002581,M000432,2026-01-28,精肉,3,2952
P0002582,M000432,2026-03-05,惣菜,2,746
P0002583,M000432,2026-02-08,精肉,5,5355
P0002584,M000432,2025-11-26,飲料,1,279
P0002585,M000432,2025-12-14,有機食品セット,4,15552
P0002586,M000433,2025-10-18,惣菜,5,2740
P0002587,M000433,2025-07-27,精肉,2,2318
P0002588,M000433,2026-04-23,有機食品セット,4,12080
P0002589,M000433,2025-11-21,菓子,5,2045
P0002590,M000433,2026-01-26,野菜,1,645
P0002591,M000434,2025-12-27,菓子,4,2304
P0002592,M000434,2025-07-03,菓子,2,964
P0002593,M000434,2026-04-06,野菜,2,948
P0002594,M000434,2025-11-21,米・穀物,4,8280
P0002595,M000434,2026-03-16,菓子,3,1419
P0002596,M000434,2026-04-23,米・穀物,3,4725
P0002597,M000434,2026-04-22,精肉,4,4104
P0002598,M000435,2025-12-07,鮮魚,3,3180
P0002599,M000435,2025-08-18,有機食品セット,3,6291
P0002600,M000435,2026-06-10,精肉,5,6825
P0002601,M000435,2025-07-04,調味料,3,1197
P0002602,M000435,2026-06-10,果物,1,916
P0002603,M000435,2026-06-20,菓子,3,1431
P0002604,M000435,2025-07-26,飲料,1,437
P0002605,M000436,2025-12-26,果物,5,6335
P0002606,M000436,2025-12-20,有機食品セット,3,12270
P0002607,M000436,2026-06-20,有機食品セット,1,3604
P0002608,M000436,2025-12-09,野菜,5,3075
P0002609,M000436,2025-10-16,野菜,4,2048
P0002610,M000436,2025-12-06,果物,3,2586
P0002611,M000437,2025-07-26,野菜,1,472
P0002612,M000437,2026-03-16,有機食品セット,3,8184
P0002613,M000437,2025-09-14,精肉,4,5960
P0002614,M000437,2026-01-07,米・穀物,2,5038
P0002615,M000437,2026-06-06,野菜,4,1676
P0002616,M000437,2025-07-23,野菜,1,461
P0002617,M000437,2026-06-18,惣菜,2,1268
P0002618,M000437,2026-04-09,有機食品セット,3,8631
P0002619,M000437,2025-10-31,菓子,1,558
P0002620,M000438,2025-08-22,米・穀物,2,7444
P0002621,M000438,2026-04-14,惣菜,2,1218
P0002622,M000438,2025-07-21,菓子,3,1509
P0002623,M000438,2026-02-01,有機食品セット,5,18410
P0002624,M000438,2026-01-18,野菜,5,4290
P0002625,M000438,2026-02-22,精肉,5,7940
P0002626,M000439,2025-09-24,精肉,4,4592
P0002627,M000439,2025-12-11,米・穀物,3,8691
P0002628,M000439,2025-11-14,果物,4,4224
P0002629,M000439,2025-07-18,調味料,3,1416
P0002630,M000439,2025-08-17,野菜,4,3336
P0002631,M000439,2026-06-08,菓子,5,3005
P0002632,M000439,2026-04-10,米・穀物,1,3372
P0002633,M000440,2026-04-05,鮮魚,4,5844
P0002634,M000440,2025-12-26,鮮魚,5,8290
P0002635,M000440,2025-12-02,有機食品セット,1,4418
P0002636,M000440,2025-10-05,米・穀物,4,14384
P0002637,M000440,2025-12-29,惣菜,3,1779
P0002638,M000441,2025-08-06,惣菜,5,2915
P0002639,M000441,2026-03-10,菓子,2,898
P0002640,M000442,2026-05-30,精肉,2,3164
P0002641,M000442,2026-05-05,菓子,2,1134
P0002642,M000442,2026-01-03,有機食品セット,1,3931
P0002643,M000442,2025-08-12,調味料,5,2890
P0002644,M000442,2025-07-15,惣菜,3,1833
P0002645,M000442,2025-07-09,米・穀物,5,16185
P0002646,M000442,2026-06-30,惣菜,5,4700
P0002647,M000443,2025-09-15,菓子,5,2750
P0002648,M000443,2026-02-11,惣菜,4,2724
P0002649,M000443,2025-09-09,飲料,4,1420
P0002650,M000443,2025-09-29,米・穀物,4,9604
P0002651,M000443,2026-03-28,精肉,4,4696
P0002652,M000443,2026-05-09,惣菜,4,2924
P0002653,M000443,2025-08-03,野菜,4,1788
P0002654,M000443,2026-02-06,精肉,3,4188
P0002655,M000443,2026-01-08,米・穀物,3,10842
P0002656,M000443,2026-04-04,果物,4,3588
P0002657,M000443,2025-12-11,惣菜,4,2544
P0002658,M000444,2026-03-04,惣菜,1,643
P0002659,M000444,2026-04-25,飲料,3,1641
P0002660,M000444,2026-06-14,果物,3,1569
P0002661,M000445,2026-05-24,精肉,2,2642
P0002662,M000445,2025-09-01,精肉,1,1954
P0002663,M000445,2025-12-09,菓子,4,2496
P0002664,M000445,2025-11-24,飲料,2,826
P0002665,M000445,2026-01-23,精肉,4,5468
P0002666,M000446,2026-05-18,有機食品セット,2,8728
P0002667,M000446,2025-07-12,菓子,2,1236
P0002668,M000446,2025-11-23,菓子,2,1676
P0002669,M000446,2025-07-01,菓子,2,878
P0002670,M000446,2026-04-21,菓子,4,2968
P0002671,M000446,2025-08-03,精肉,4,5860
P0002672,M000446,2026-06-05,果物,1,724
P0002673,M000446,2025-07-05,調味料,2,1100
P0002674,M000446,2026-05-03,菓子,4,1836
P0002675,M000446,2025-08-25,菓子,4,1692
P0002676,M000447,2025-12-20,野菜,3,1566
P0002677,M000447,2025-07-10,惣菜,1,546
P0002678,M000447,2025-09-18,惣菜,4,3152
P0002679,M000447,2025-12-17,惣菜,2,1230
P0002680,M000447,2025-10-08,菓子,2,1222
P0002681,M000447,2025-09-01,精肉,4,6320
P0002682,M000448,2026-04-23,鮮魚,5,11090
P0002683,M000448,2025-12-12,野菜,3,1809
P0002684,M000448,2025-07-07,飲料,4,1572
P0002685,M000449,2026-01-02,精肉,3,2679
P0002686,M000449,2025-11-07,調味料,1,515
P0002687,M000449,2025-08-24,鮮魚,2,3972
P0002688,M000449,2025-10-30,調味料,5,2035
P0002689,M000449,2026-01-08,野菜,2,886
P0002690,M000449,2025-11-26,飲料,3,1566
P0002691,M000449,2025-07-27,菓子,3,2010
P0002692,M000450,2025-08-29,有機食品セット,2,6946
P0002693,M000450,2025-09-21,飲料,2,890
P0002694,M000450,2026-04-28,鮮魚,2,2614
P0002695,M000450,2026-02-06,野菜,3,1572
P0002696,M000450,2025-12-16,菓子,1,424
P0002697,M000450,2026-03-04,鮮魚,5,9440
P0002698,M000450,2025-11-01,飲料,5,2180
P0002699,M000451,2025-11-15,惣菜,4,3376
P0002700,M000451,2026-06-29,飲料,4,1616
P0002701,M000451,2025-09-29,鮮魚,4,6632
P0002702,M000451,2026-05-12,野菜,4,1916
P0002703,M000451,2026-06-27,菓子,5,2545
P0002704,M000452,2025-11-18,鮮魚,4,4680
P0002705,M000452,2026-03-07,野菜,2,1034
P0002706,M000452,2026-03-11,菓子,1,530
P0002707,M000452,2026-04-03,有機食品セット,5,21970
P0002708,M000452,2025-09-02,野菜,3,2265
P0002709,M000452,2025-09-15,有機食品セット,3,14154
P0002710,M000453,2026-01-05,果物,4,2856
P0002711,M000453,2025-10-16,飲料,4,1568
P0002712,M000453,2025-07-17,惣菜,3,1773
P0002713,M000453,2025-12-26,米・穀物,5,11265
P0002714,M000453,2026-02-25,野菜,3,1065
P0002715,M000453,2026-03-28,調味料,5,2985
P0002716,M000453,2026-01-27,菓子,5,2735
P0002717,M000454,2025-12-13,鮮魚,2,3242
P0002718,M000454,2026-05-19,菓子,1,616
P0002719,M000454,2026-03-20,果物,3,1827
P0002720,M000454,2025-10-19,菓子,3,1782
P0002721,M000454,2025-08-27,菓子,1,553
P0002722,M000454,2025-09-26,調味料,2,932
P0002723,M000454,2026-06-08,野菜,1,416
P0002724,M000454,2026-03-27,野菜,1,503
P0002725,M000454,2025-09-28,惣菜,1,747
P0002726,M000454,2026-02-15,果物,3,2877
P0002727,M000454,2026-01-18,果物,5,4655
P0002728,M000455,2026-01-12,果物,2,1994
P0002729,M000455,2025-07-23,精肉,4,5312
P0002730,M000455,2026-05-23,米・穀物,3,10656
P0002731,M000456,2026-06-18,有機食品セット,1,3220
P0002732,M000456,2025-09-14,米・穀物,1,2257
P0002733,M000456,2025-07-16,菓子,3,1746
P0002734,M000456,2026-03-03,調味料,1,494
P0002735,M000456,2026-01-26,野菜,1,395
P0002736,M000456,2025-11-02,鮮魚,2,3334
P0002737,M000456,2026-03-09,精肉,2,2668
P0002738,M000456,2025-12-06,鮮魚,3,5382
P0002739,M000457,2025-11-26,惣菜,3,1911
P0002740,M000457,2025-09-12,野菜,1,717
P0002741,M000457,2025-07-13,菓子,1,662
P0002742,M000457,2026-01-10,米・穀物,1,2972
P0002743,M000458,2026-01-06,調味料,5,2745
P0002744,M000458,2025-12-30,米・穀物,5,12945
P0002745,M000458,2025-10-14,精肉,3,4353
P0002746,M000458,2025-09-23,惣菜,1,658
P0002747,M000458,2025-10-08,惣菜,2,1246
P0002748,M000458,2025-12-14,惣菜,1,760
P0002749,M000458,2026-03-07,有機食品セット,5,19640
P0002750,M000458,2026-04-19,米・穀物,2,4180
P0002751,M000458,2025-08-25,精肉,5,5745
P0002752,M000459,2026-03-26,惣菜,3,1362
P0002753,M000459,2025-08-09,菓子,3,1539
P0002754,M000459,2026-03-26,米・穀物,4,10140
P0002755,M000459,2025-07-22,米・穀物,1,3288
P0002756,M000459,2026-01-11,惣菜,4,2244
P0002757,M000460,2025-11-03,有機食品セット,3,13758
P0002758,M000460,2026-05-02,惣菜,1,755
P0002759,M000460,2026-05-13,精肉,2,2426
P0002760,M000460,2025-09-09,調味料,4,2148
P0002761,M000460,2025-08-26,精肉,3,4491
P0002762,M000461,2025-12-24,調味料,1,565
P0002763,M000461,2026-06-18,鮮魚,3,2589
P0002764,M000461,2026-03-09,鮮魚,2,3382
P0002765,M000461,2026-02-01,惣菜,1,848
P0002766,M000461,2026-01-30,米・穀物,3,9240
P0002767,M000461,2025-11-18,鮮魚,2,2782
P0002768,M000462,2025-11-18,鮮魚,2,3024
P0002769,M000462,2025-11-22,有機食品セット,3,7893
P0002770,M000462,2026-04-03,飲料,3,1092
P0002771,M000462,2026-01-17,調味料,5,2100
P0002772,M000462,2026-01-08,有機食品セット,5,18185
P0002773,M000462,2026-05-19,菓子,2,1054
P0002774,M000462,2026-02-02,鮮魚,2,3430
P0002775,M000462,2025-10-11,米・穀物,4,13468
P0002776,M000462,2025-08-23,惣菜,3,1497
P0002777,M000463,2026-06-27,鮮魚,2,2642
P0002778,M000463,2026-02-09,野菜,1,458
P0002779,M000463,2025-10-08,飲料,2,756
P0002780,M000464,2025-09-10,野菜,3,2262
P0002781,M000464,2026-03-25,野菜,4,2332
P0002782,M000464,2025-08-11,飲料,3,1245
P0002783,M000464,2026-04-29,米・穀物,2,5266
P0002784,M000464,2025-07-14,菓子,5,3875
P0002785,M000464,2025-09-05,惣菜,4,3548
P0002786,M000465,2026-06-08,鮮魚,1,1611
P0002787,M000465,2026-01-25,有機食品セット,1,5070
P0002788,M000465,2026-01-04,調味料,5,2415
P0002789,M000465,2026-03-12,米・穀物,4,11592
P0002790,M000465,2025-07-10,野菜,5,2840
P0002791,M000466,2026-04-04,果物,5,4525
P0002792,M000466,2025-11-12,飲料,5,1550
P0002793,M000466,2025-12-30,調味料,1,450
P0002794,M000466,2026-02-28,菓子,5,3000
P0002795,M000466,2026-03-15,調味料,2,732
P0002796,M000467,2026-05-04,精肉,5,8610
P0002797,M000467,2026-01-11,鮮魚,2,3194
P0002798,M000467,2026-03-01,野菜,2,1440
P0002799,M000467,2026-05-18,惣菜,4,3148
P0002800,M000467,2026-05-01,米・穀物,1,2015
P0002801,M000467,2026-06-06,精肉,3,2901
P0002802,M000467,2026-02-09,精肉,1,1401
P0002803,M000468,2026-01-05,有機食品セット,1,4078
P0002804,M000468,2025-10-17,有機食品セット,4,14316
P0002805,M000468,2025-08-10,惣菜,2,1492
P0002806,M000468,2025-09-03,有機食品セット,1,3178
P0002807,M000468,2025-10-02,精肉,1,1281
P0002808,M000469,2025-10-01,有機食品セット,1,2914
P0002809,M000469,2025-10-28,惣菜,4,2788
P0002810,M000469,2026-01-29,惣菜,3,1155
P0002811,M000469,2025-11-30,菓子,2,1204
P0002812,M000470,2025-08-30,米・穀物,1,3444
P0002813,M000470,2025-08-24,鮮魚,5,6620
P0002814,M000470,2026-03-30,飲料,5,1710
P0002815,M000470,2025-07-23,鮮魚,5,8780
P0002816,M000470,2026-05-24,惣菜,2,886
P0002817,M000471,2025-11-20,鮮魚,5,7685
P0002818,M000471,2026-05-07,飲料,4,1520
P0002819,M000471,2026-05-24,菓子,4,2072
P0002820,M000471,2025-12-23,野菜,2,1046
P0002821,M000472,2025-09-23,鮮魚,4,7784
P0002822,M000472,2025-12-07,米・穀物,3,7137
P0002823,M000472,2025-10-02,菓子,3,1533
P0002824,M000472,2025-07-07,精肉,1,1131
P0002825,M000472,2025-10-08,飲料,2,856
P0002826,M000472,2026-01-14,野菜,5,4355
P0002827,M000472,2025-09-24,鮮魚,1,1614
P0002828,M000473,2026-05-10,米・穀物,1,3184
P0002829,M000473,2025-08-02,調味料,3,1494
P0002830,M000473,2026-05-24,有機食品セット,1,4678
P0002831,M000473,2025-09-22,果物,1,1050
P0002832,M000473,2026-02-15,菓子,1,419
P0002833,M000474,2026-04-30,飲料,2,994
P0002834,M000474,2026-02-14,精肉,5,4595
P0002835,M000474,2025-11-07,鮮魚,1,1859
P0002836,M000474,2026-06-19,鮮魚,2,4630
P0002837,M000475,2025-07-29,調味料,4,1944
P0002838,M000475,2026-03-24,果物,2,1746
P0002839,M000475,2026-01-24,有機食品セット,3,11748
P0002840,M000475,2026-05-27,鮮魚,2,3440
P0002841,M000475,2025-07-18,菓子,3,1851
P0002842,M000475,2026-06-25,米・穀物,1,3343
P0002843,M000475,2026-01-27,野菜,5,2895
P0002844,M000476,2026-04-17,調味料,5,1875
P0002845,M000476,2025-08-20,菓子,4,2308
P0002846,M000476,2025-08-26,有機食品セット,1,4855
P0002847,M000476,2026-01-21,菓子,3,2949
P0002848,M000476,2025-10-09,野菜,1,558
P0002849,M000476,2026-01-24,米・穀物,1,2701
P0002850,M000477,2026-01-13,果物,1,851
P0002851,M000477,2025-10-17,果物,3,3825
P0002852,M000477,2025-11-25,飲料,4,2104
P0002853,M000477,2026-06-22,有機食品セット,1,4337
P0002854,M000477,2025-11-04,菓子,3,2013
P0002855,M000478,2025-12-26,菓子,1,516
P0002856,M000478,2025-09-23,鮮魚,5,8835
P0002857,M000478,2025-12-25,調味料,4,2020
P0002858,M000478,2025-10-26,果物,5,4300
P0002859,M000478,2026-06-24,精肉,3,3177
P0002860,M000478,2025-07-02,精肉,1,1338
P0002861,M000479,2025-09-13,飲料,2,770
P0002862,M000479,2026-01-25,惣菜,1,742
P0002863,M000479,2025-11-25,精肉,2,3754
P0002864,M000479,2025-10-03,野菜,5,1815
P0002865,M000479,2026-02-03,調味料,4,2428
P0002866,M000480,2026-03-20,有機食品セット,4,17568
P0002867,M000480,2025-08-16,調味料,2,526
P0002868,M000480,2026-04-11,飲料,1,606
P0002869,M000480,2025-07-31,惣菜,5,4345
P0002870,M000480,2025-07-26,菓子,5,3535
P0002871,M000480,2026-01-01,飲料,4,2688
P0002872,M000480,2025-08-06,飲料,4,1700
P0002873,M000480,2026-04-16,野菜,4,2004
P0002874,M000481,2025-08-23,有機食品セット,1,4167
P0002875,M000481,2026-02-01,惣菜,4,2388
P0002876,M000481,2025-08-26,米・穀物,1,3674
P0002877,M000481,2026-01-25,米・穀物,4,10856
P0002878,M000481,2026-02-26,調味料,3,1779
P0002879,M000481,2025-10-18,鮮魚,1,1775
P0002880,M000481,2025-10-07,飲料,5,2645
P0002881,M000481,2025-11-23,菓子,3,1590
P0002882,M000481,2025-07-10,野菜,4,2640
P0002883,M000482,2025-09-25,飲料,2,894
P0002884,M000482,2026-04-12,精肉,5,6850
P0002885,M000482,2025-08-21,野菜,5,2380
P0002886,M000482,2025-11-06,鮮魚,2,4168
P0002887,M000482,2025-10-12,飲料,2,1186
P0002888,M000482,2026-04-14,調味料,3,1593
P0002889,M000483,2026-03-26,野菜,2,886
P0002890,M000483,2026-05-31,野菜,4,2780
P0002891,M000483,2025-08-14,野菜,3,1572
P0002892,M000483,2025-12-19,鮮魚,4,6780
P0002893,M000484,2025-09-08,飲料,3,1242
P0002894,M000484,2026-05-10,野菜,3,1719
P0002895,M000484,2026-04-09,調味料,2,816
P0002896,M000484,2025-09-27,菓子,4,1972
P0002897,M000484,2025-07-17,菓子,5,2655
P0002898,M000485,2025-11-05,飲料,5,3065
P0002899,M000485,2025-10-23,調味料,5,2460
P0002900,M000485,2025-11-03,菓子,4,1420
P0002901,M000485,2025-07-07,米・穀物,4,14216
P0002902,M000485,2026-02-08,精肉,4,4868
P0002903,M000485,2026-06-10,惣菜,5,4835
P0002904,M000485,2026-03-11,鮮魚,1,1917
P0002905,M000485,2025-10-06,調味料,4,2336
P0002906,M000486,2026-06-27,菓子,4,1668
P0002907,M000486,2025-09-03,果物,1,1276
P0002908,M000486,2026-01-14,野菜,3,1758
P0002909,M000486,2026-01-13,果物,3,2754
P0002910,M000487,2025-07-09,有機食品セット,5,12420
P0002911,M000487,2026-02-17,飲料,3,918
P0002912,M000487,2025-09-29,調味料,2,864
P0002913,M000487,2026-02-08,惣菜,5,3240
P0002914,M000488,2026-01-18,惣菜,3,1896
P0002915,M000488,2026-03-12,精肉,5,7320
P0002916,M000488,2026-04-28,惣菜,5,3495
P0002917,M000488,2026-02-22,惣菜,1,526
P0002918,M000488,2026-01-02,野菜,2,1456
P0002919,M000488,2025-12-19,精肉,1,1065
P0002920,M000488,2025-08-01,菓子,4,2948
P0002921,M000489,2025-08-22,惣菜,1,725
P0002922,M000489,2025-08-25,惣菜,2,1304
P0002923,M000489,2026-02-20,菓子,5,1975
P0002924,M000489,2025-10-02,調味料,1,362
P0002925,M000489,2026-04-15,惣菜,2,1362
P0002926,M000489,2026-04-12,果物,1,946
P0002927,M000490,2026-06-12,菓子,5,2555
P0002928,M000490,2026-02-14,果物,5,4520
P0002929,M000490,2026-03-17,米・穀物,2,5366
P0002930,M000490,2026-03-01,米・穀物,5,18740
P0002931,M000490,2025-09-30,調味料,2,1302
P0002932,M000491,2025-11-18,野菜,2,1290
P0002933,M000491,2026-06-20,野菜,5,2775
P0002934,M000491,2026-05-18,菓子,5,2585
P0002935,M000491,2026-02-24,惣菜,4,2400
P0002936,M000492,2026-02-12,菓子,1,237
P0002937,M000492,2026-03-13,野菜,2,1370
P0002938,M000492,2026-03-18,有機食品セット,3,11589
P0002939,M000492,2025-12-02,惣菜,4,2420
P0002940,M000492,2025-10-06,飲料,4,2136
P0002941,M000492,2026-05-12,惣菜,1,617
P0002942,M000492,2025-12-07,飲料,1,255
P0002943,M000492,2025-10-29,飲料,3,855
P0002944,M000493,2025-11-25,精肉,2,2482
P0002945,M000493,2026-02-11,野菜,2,668
P0002946,M000493,2025-10-16,米・穀物,5,15610
P0002947,M000493,2025-08-09,果物,3,1884
P0002948,M000494,2026-03-23,惣菜,5,2840
P0002949,M000494,2025-12-10,精肉,5,5045
P0002950,M000494,2026-01-05,調味料,2,758
P0002951,M000494,2026-01-06,精肉,4,4700
P0002952,M000494,2026-02-27,米・穀物,5,11435
P0002953,M000494,2025-08-12,調味料,2,1108
P0002954,M000494,2025-12-13,惣菜,4,2032
P0002955,M000495,2025-07-04,有機食品セット,4,20472
P0002956,M000495,2026-05-23,菓子,4,2140
P0002957,M000495,2026-03-11,野菜,2,1020
P0002958,M000495,2025-10-05,野菜,4,1976
P0002959,M000496,2025-12-22,調味料,3,1614
P0002960,M000496,2025-12-26,米・穀物,2,4408
P0002961,M000496,2025-09-01,有機食品セット,3,10233
P0002962,M000496,2026-06-19,米・穀物,4,12116
P0002963,M000496,2025-07-04,有機食品セット,3,7872
P0002964,M000497,2025-09-23,調味料,3,1275
P0002965,M000497,2025-07-21,有機食品セット,4,16916
P0002966,M000497,2025-08-23,鮮魚,3,4659
P0002967,M000497,2026-03-04,調味料,4,2188
P0002968,M000497,2026-05-16,精肉,4,5076
P0002969,M000497,2026-03-06,精肉,1,1339
P0002970,M000497,2026-05-08,鮮魚,1,1254
P0002971,M000497,2025-08-18,米・穀物,5,11645
P0002972,M000498,2026-04-09,惣菜,5,3425
P0002973,M000498,2025-10-18,有機食品セット,1,4799
P0002974,M000498,2025-08-08,惣菜,2,1704
P0002975,M000498,2026-05-20,菓子,2,1048
P0002976,M000498,2025-12-27,米・穀物,4,14544
P0002977,M000498,2025-07-30,惣菜,4,2872
P0002978,M000498,2025-08-09,野菜,5,2465
P0002979,M000499,2026-03-22,米・穀物,4,10496
P0002980,M000499,2025-08-20,米・穀物,4,7420
P0002981,M000499,2026-04-12,鮮魚,4,5644
P0002982,M000499,2026-05-07,鮮魚,1,1282
P0002983,M000499,2026-03-31,野菜,2,1102
P0002984,M000500,2025-10-20,果物,4,3376
P0002985,M000500,2025-09-29,菓子,1,557
P0002986,M000500,2026-04-28,飲料,3,1185
P0002987,M000500,2026-01-18,果物,3,3075
P0002988,M000500,2025-08-29,菓子,2,1140
P0002989,M000500,2026-05-26,米・穀物,2,4010
P0002990,M000501,2025-10-02,米・穀物,4,8512
P0002991,M000501,2025-10-26,惣菜,2,1262
P0002992,M000501,2025-12-06,調味料,4,1396
P0002993,M000501,2026-03-08,菓子,2,968
P0002994,M000501,2025-08-11,果物,5,4920
P0002995,M000501,2026-03-29,菓子,1,381
P0002996,M000501,2026-03-15,調味料,3,1338
P0002997,M000501,2026-04-25,野菜,1,469
P0002998,M000501,2025-07-30,菓子,5,2600
P0002999,M000501,2025-12-22,精肉,1,1791
P0003000,M000502,2026-02-06,有機食品セット,1,4152
P0003001,M000502,2025-11-05,菓子,4,2492
P0003002,M000502,2025-08-17,飲料,5,2525
P0003003,M000502,2026-05-29,飲料,1,515
P0003004,M000502,2026-06-16,菓子,4,1792
P0003005,M000503,2025-11-27,野菜,1,612
P0003006,M000503,2026-06-16,飲料,5,1810
P0003007,M000503,2025-10-17,惣菜,3,2307
P0003008,M000503,2026-06-23,惣菜,1,889
P0003009,M000503,2026-05-08,菓子,2,1034
P0003010,M000503,2025-09-16,惣菜,5,4615
P0003011,M000503,2026-05-27,飲料,2,686
P0003012,M000503,2025-11-06,野菜,4,2616
P0003013,M000504,2025-12-13,菓子,5,2660
P0003014,M000504,2026-02-16,菓子,3,2046
P0003015,M000504,2025-11-28,野菜,5,2200
P0003016,M000504,2026-04-11,飲料,5,2200
P0003017,M000504,2026-05-30,惣菜,3,1182
