明細ID,取引ID,商品ID,商品名,数量,金額
D00005687,T0001877,G07,さば,1,445
D00005688,T0001877,G10,食パン,3,636
D00005689,T0001878,G01,トマト,1,286
D00005690,T0001878,G16,しょうゆ,2,708
D00005691,T0001878,G04,バナナ,3,621
D00005692,T0001879,G06,鶏むね肉,1,451
D00005693,T0001879,G12,緑茶ペットボトル,3,392
D00005694,T0001880,G14,ポテトチップス,1,171
D00005695,T0001880,G14,ポテトチップス,3,527
D00005696,T0001880,G11,からあげ弁当,3,1612
D00005697,T0001880,G11,からあげ弁当,2,1190
D00005698,T0001880,G05,牛肉（国産）,1,885
D00005699,T0001881,G02,レタス,1,191
D00005700,T0001882,G11,からあげ弁当,2,1076
D00005701,T0001882,G14,ポテトチップス,2,336
D00005702,T0001882,G16,しょうゆ,2,717
D00005703,T0001883,G01,トマト,1,280
D00005704,T0001883,G02,レタス,2,400
D00005705,T0001884,G14,ポテトチップス,1,175
D00005706,T0001885,G16,しょうゆ,3,1093
D00005707,T0001886,G01,トマト,2,537
D00005708,T0001886,G04,バナナ,3,678
D00005709,T0001887,G05,牛肉（国産）,1,995
D00005710,T0001887,G06,鶏むね肉,2,936
D00005711,T0001887,G15,チョコレート,1,239
D00005712,T0001887,G12,緑茶ペットボトル,1,134
D00005713,T0001888,G11,からあげ弁当,1,592
D00005714,T0001888,G16,しょうゆ,1,312
D00005715,T0001888,G14,ポテトチップス,2,317
D00005716,T0001888,G02,レタス,2,366
D00005717,T0001888,G07,さば,3,1291
D00005718,T0001889,G02,レタス,1,189
D00005719,T0001889,G06,鶏むね肉,2,867
D00005720,T0001889,G11,からあげ弁当,1,542
D00005721,T0001890,G14,ポテトチップス,2,310
D00005722,T0001890,G08,まぐろ刺身,1,872
D00005723,T0001890,G03,りんご,3,958
D00005724,T0001890,G09,こしひかり5kg,1,2703
D00005725,T0001890,G01,トマト,2,544
D00005726,T0001891,G07,さば,2,853
D00005727,T0001892,G13,コーヒー豆,3,2411
D00005728,T0001892,G02,レタス,3,582
D00005729,T0001893,G15,チョコレート,3,683
D00005730,T0001893,G03,りんご,1,297
D00005731,T0001893,G02,レタス,3,620
D00005732,T0001893,G11,からあげ弁当,2,1160
D00005733,T0001894,G10,食パン,3,682
D00005734,T0001895,G14,ポテトチップス,3,464
D00005735,T0001896,G12,緑茶ペットボトル,3,408
D00005736,T0001896,G16,しょうゆ,2,656
D00005737,T0001897,G06,鶏むね肉,2,863
D00005738,T0001898,G07,さば,1,406
D00005739,T0001899,G01,トマト,2,537
D00005740,T0001899,G11,からあげ弁当,2,1253
D00005741,T0001899,G14,ポテトチップス,1,155
D00005742,T0001899,G05,牛肉（国産）,3,2912
D00005743,T0001899,G12,緑茶ペットボトル,2,247
D00005744,T0001900,G10,食パン,3,738
D00005745,T0001901,G05,牛肉（国産）,3,2842
D00005746,T0001901,G05,牛肉（国産）,2,2069
D00005747,T0001902,G07,さば,2,816
D00005748,T0001902,G12,緑茶ペットボトル,3,433
D00005749,T0001903,G04,バナナ,1,200
D00005750,T0001903,G04,バナナ,3,649
D00005751,T0001903,G11,からあげ弁当,2,1088
D00005752,T0001903,G10,食パン,2,449
D00005753,T0001904,G16,しょうゆ,3,977
D00005754,T0001905,G08,まぐろ刺身,1,859
D00005755,T0001905,G02,レタス,1,194
D00005756,T0001906,G01,トマト,2,543
D00005757,T0001906,G14,ポテトチップス,1,156
D00005758,T0001907,G10,食パン,1,248
D00005759,T0001907,G04,バナナ,2,422
D00005760,T0001907,G06,鶏むね肉,2,923
D00005761,T0001908,G15,チョコレート,1,204
D00005762,T0001908,G10,食パン,3,654
D00005763,T0001909,G09,こしひかり5kg,2,5282
D00005764,T0001909,G15,チョコレート,1,233
D00005765,T0001909,G10,食パン,2,448
D00005766,T0001909,G02,レタス,1,179
D00005767,T0001910,G12,緑茶ペットボトル,3,400
D00005768,T0001910,G01,トマト,1,267
D00005769,T0001910,G11,からあげ弁当,1,597
D00005770,T0001910,G11,からあげ弁当,1,585
D00005771,T0001910,G03,りんご,2,617
D00005772,T0001911,G02,レタス,1,184
D00005773,T0001912,G11,からあげ弁当,2,1123
D00005774,T0001912,G11,からあげ弁当,1,542
D00005775,T0001913,G03,りんご,2,623
D00005776,T0001913,G14,ポテトチップス,2,332
D00005777,T0001913,G03,りんご,2,685
D00005778,T0001913,G01,トマト,2,555
D00005779,T0001913,G11,からあげ弁当,2,1145
D00005780,T0001914,G07,さば,3,1261
D00005781,T0001914,G01,トマト,2,537
D00005782,T0001914,G14,ポテトチップス,2,312
D00005783,T0001914,G07,さば,1,453
D00005784,T0001914,G02,レタス,1,206
D00005785,T0001915,G07,さば,3,1357
D00005786,T0001915,G12,緑茶ペットボトル,3,439
D00005787,T0001915,G01,トマト,1,272
D00005788,T0001915,G03,りんご,1,339
D00005789,T0001915,G05,牛肉（国産）,1,1000
D00005790,T0001916,G05,牛肉（国産）,2,2018
D00005791,T0001916,G14,ポテトチップス,1,183
D00005792,T0001916,G10,食パン,3,728
D00005793,T0001916,G12,緑茶ペットボトル,2,275
D00005794,T0001917,G11,からあげ弁当,1,597
D00005795,T0001918,G06,鶏むね肉,3,1403
D00005796,T0001918,G02,レタス,3,552
D00005797,T0001918,G08,まぐろ刺身,1,844
D00005798,T0001918,G11,からあげ弁当,1,600
D00005799,T0001919,G03,りんご,1,342
D00005800,T0001919,G06,鶏むね肉,1,500
D00005801,T0001919,G02,レタス,1,188
D00005802,T0001919,G10,食パン,1,214
D00005803,T0001920,G07,さば,2,876
D00005804,T0001921,G02,レタス,1,199
D00005805,T0001921,G02,レタス,1,193
D00005806,T0001921,G09,こしひかり5kg,1,2777
D00005807,T0001921,G04,バナナ,2,437
D00005808,T0001922,G05,牛肉（国産）,3,3038
D00005809,T0001923,G07,さば,1,389
D00005810,T0001923,G03,りんご,2,627
D00005811,T0001923,G14,ポテトチップス,3,467
D00005812,T0001924,G14,ポテトチップス,3,510
D00005813,T0001924,G15,チョコレート,1,219
D00005814,T0001924,G02,レタス,3,611
D00005815,T0001924,G03,りんご,2,677
D00005816,T0001925,G07,さば,3,1182
D00005817,T0001925,G11,からあげ弁当,1,538
D00005818,T0001925,G09,こしひかり5kg,1,2673
D00005819,T0001925,G12,緑茶ペットボトル,2,256
D00005820,T0001926,G08,まぐろ刺身,2,1587
D00005821,T0001927,G12,緑茶ペットボトル,2,271
D00005822,T0001927,G03,りんご,3,1019
D00005823,T0001927,G07,さば,3,1249
D00005824,T0001927,G02,レタス,3,523
D00005825,T0001927,G12,緑茶ペットボトル,2,272
D00005826,T0001928,G04,バナナ,1,211
D00005827,T0001928,G01,トマト,3,831
D00005828,T0001928,G13,コーヒー豆,1,868
D00005829,T0001929,G14,ポテトチップス,1,169
D00005830,T0001929,G14,ポテトチップス,1,152
D00005831,T0001929,G05,牛肉（国産）,3,2710
D00005832,T0001929,G03,りんご,1,339
D00005833,T0001930,G01,トマト,1,250
D00005834,T0001930,G01,トマト,1,246
D00005835,T0001930,G14,ポテトチップス,3,473
D00005836,T0001931,G14,ポテトチップス,3,482
D00005837,T0001931,G14,ポテトチップス,3,507
D00005838,T0001931,G09,こしひかり5kg,2,5911
D00005839,T0001932,G01,トマト,2,556
D00005840,T0001932,G07,さば,1,406
D00005841,T0001933,G02,レタス,1,181
D00005842,T0001933,G14,ポテトチップス,2,325
D00005843,T0001934,G01,トマト,3,856
D00005844,T0001935,G13,コーヒー豆,1,840
D00005845,T0001935,G04,バナナ,2,423
D00005846,T0001935,G03,りんご,2,640
D00005847,T0001935,G07,さば,2,847
D00005848,T0001936,G11,からあげ弁当,1,572
D00005849,T0001937,G11,からあげ弁当,2,1166
D00005850,T0001938,G15,チョコレート,1,213
D00005851,T0001938,G12,緑茶ペットボトル,1,137
D00005852,T0001938,G09,こしひかり5kg,1,2588
D00005853,T0001938,G11,からあげ弁当,1,599
D00005854,T0001939,G13,コーヒー豆,2,1730
D00005855,T0001939,G01,トマト,1,255
D00005856,T0001940,G02,レタス,3,549
D00005857,T0001940,G01,トマト,1,271
D00005858,T0001941,G06,鶏むね肉,3,1473
D00005859,T0001941,G03,りんご,3,943
D00005860,T0001941,G09,こしひかり5kg,2,5405
D00005861,T0001941,G16,しょうゆ,3,962
D00005862,T0001942,G05,牛肉（国産）,3,2897
D00005863,T0001942,G06,鶏むね肉,2,932
D00005864,T0001943,G08,まぐろ刺身,1,895
D00005865,T0001943,G01,トマト,1,284
D00005866,T0001943,G03,りんご,2,659
D00005867,T0001943,G10,食パン,1,223
D00005868,T0001943,G02,レタス,3,547
D00005869,T0001944,G03,りんご,3,1031
D00005870,T0001945,G14,ポテトチップス,3,488
D00005871,T0001945,G06,鶏むね肉,3,1382
D00005872,T0001945,G07,さば,3,1284
D00005873,T0001946,G01,トマト,1,257
D00005874,T0001946,G15,チョコレート,2,402
D00005875,T0001946,G03,りんご,1,334
D00005876,T0001946,G02,レタス,3,618
D00005877,T0001947,G11,からあげ弁当,3,1811
D00005878,T0001948,G02,レタス,1,184
D00005879,T0001948,G04,バナナ,2,385
D00005880,T0001948,G15,チョコレート,3,625
D00005881,T0001948,G04,バナナ,3,639
D00005882,T0001948,G01,トマト,3,828
D00005883,T0001949,G02,レタス,3,552
D00005884,T0001949,G03,りんご,3,981
D00005885,T0001949,G03,りんご,3,907
D00005886,T0001949,G02,レタス,1,188
D00005887,T0001949,G02,レタス,1,176
D00005888,T0001950,G12,緑茶ペットボトル,2,269
D00005889,T0001950,G15,チョコレート,2,459
D00005890,T0001950,G09,こしひかり5kg,1,2813
D00005891,T0001950,G11,からあげ弁当,2,1229
D00005892,T0001951,G11,からあげ弁当,2,1111
D00005893,T0001951,G03,りんご,3,957
D00005894,T0001951,G02,レタス,3,576
D00005895,T0001951,G14,ポテトチップス,2,358
D00005896,T0001952,G03,りんご,2,611
D00005897,T0001953,G01,トマト,3,808
D00005898,T0001953,G06,鶏むね肉,1,499
D00005899,T0001953,G06,鶏むね肉,2,952
D00005900,T0001953,G01,トマト,2,549
D00005901,T0001953,G16,しょうゆ,1,343
D00005902,T0001954,G10,食パン,1,225
D00005903,T0001955,G01,トマト,3,818
D00005904,T0001956,G01,トマト,1,275
D00005905,T0001956,G03,りんご,3,1011
D00005906,T0001956,G14,ポテトチップス,1,165
D00005907,T0001956,G03,りんご,1,307
D00005908,T0001956,G09,こしひかり5kg,3,7719
D00005909,T0001957,G07,さば,3,1308
D00005910,T0001957,G06,鶏むね肉,2,889
D00005911,T0001958,G13,コーヒー豆,3,2506
D00005912,T0001958,G10,食パン,2,447
D00005913,T0001958,G11,からあげ弁当,1,561
D00005914,T0001959,G02,レタス,3,553
D00005915,T0001959,G11,からあげ弁当,2,1140
D00005916,T0001960,G06,鶏むね肉,3,1365
D00005917,T0001960,G12,緑茶ペットボトル,3,405
D00005918,T0001960,G11,からあげ弁当,3,1814
D00005919,T0001960,G06,鶏むね肉,2,976
D00005920,T0001960,G13,コーヒー豆,1,760
D00005921,T0001961,G11,からあげ弁当,2,1220
D00005922,T0001962,G03,りんご,3,979
D00005923,T0001962,G16,しょうゆ,3,977
D00005924,T0001962,G11,からあげ弁当,2,1120
D00005925,T0001963,G14,ポテトチップス,2,327
D00005926,T0001963,G14,ポテトチップス,1,159
D00005927,T0001964,G01,トマト,2,482
D00005928,T0001964,G09,こしひかり5kg,3,8091
D00005929,T0001964,G01,トマト,1,281
D00005930,T0001965,G10,食パン,1,240
D00005931,T0001966,G11,からあげ弁当,1,598
D00005932,T0001966,G08,まぐろ刺身,3,2727
D00005933,T0001966,G05,牛肉（国産）,2,1871
D00005934,T0001966,G15,チョコレート,1,223
D00005935,T0001967,G10,食パン,1,230
D00005936,T0001967,G12,緑茶ペットボトル,3,396
D00005937,T0001968,G16,しょうゆ,3,1012
D00005938,T0001968,G10,食パン,3,713
D00005939,T0001968,G02,レタス,2,371
D00005940,T0001969,G16,しょうゆ,1,311
D00005941,T0001969,G02,レタス,2,367
D00005942,T0001970,G04,バナナ,2,399
D00005943,T0001970,G03,りんご,2,623
D00005944,T0001970,G09,こしひかり5kg,1,2847
D00005945,T0001970,G11,からあげ弁当,1,622
D00005946,T0001971,G10,食パン,1,209
D00005947,T0001971,G01,トマト,2,498
D00005948,T0001971,G09,こしひかり5kg,1,2752
D00005949,T0001971,G07,さば,2,917
D00005950,T0001971,G12,緑茶ペットボトル,3,379
D00005951,T0001972,G05,牛肉（国産）,1,895
D00005952,T0001972,G16,しょうゆ,1,329
D00005953,T0001972,G11,からあげ弁当,1,545
D00005954,T0001973,G07,さば,1,398
D00005955,T0001973,G04,バナナ,1,203
D00005956,T0001973,G03,りんご,3,906
D00005957,T0001974,G04,バナナ,2,400
D00005958,T0001974,G12,緑茶ペットボトル,2,290
D00005959,T0001975,G05,牛肉（国産）,2,1941
D00005960,T0001975,G11,からあげ弁当,1,629
D00005961,T0001975,G04,バナナ,1,191
D00005962,T0001975,G12,緑茶ペットボトル,2,273
D00005963,T0001975,G01,トマト,1,276
D00005964,T0001976,G04,バナナ,2,446
D00005965,T0001976,G01,トマト,2,519
D00005966,T0001977,G11,からあげ弁当,3,1685
D00005967,T0001977,G09,こしひかり5kg,1,2823
D00005968,T0001977,G16,しょうゆ,3,917
D00005969,T0001977,G10,食パン,1,215
D00005970,T0001977,G16,しょうゆ,1,315
D00005971,T0001978,G12,緑茶ペットボトル,1,131
D00005972,T0001978,G12,緑茶ペットボトル,1,141
D00005973,T0001978,G10,食パン,1,210
D00005974,T0001979,G01,トマト,3,854
D00005975,T0001979,G06,鶏むね肉,3,1402
D00005976,T0001979,G14,ポテトチップス,2,365
D00005977,T0001979,G06,鶏むね肉,2,925
D00005978,T0001979,G14,ポテトチップス,1,160
D00005979,T0001980,G03,りんご,2,581
D00005980,T0001980,G11,からあげ弁当,2,1159
D00005981,T0001980,G15,チョコレート,1,238
D00005982,T0001980,G15,チョコレート,3,624
D00005983,T0001980,G14,ポテトチップス,1,156
D00005984,T0001981,G12,緑茶ペットボトル,2,264
D00005985,T0001982,G07,さば,2,861
D00005986,T0001982,G04,バナナ,3,604
D00005987,T0001982,G10,食パン,1,212
D00005988,T0001982,G01,トマト,1,254
D00005989,T0001983,G06,鶏むね肉,2,1026
D00005990,T0001983,G13,コーヒー豆,1,881
D00005991,T0001984,G02,レタス,1,191
D00005992,T0001984,G06,鶏むね肉,2,987
D00005993,T0001984,G11,からあげ弁当,1,534
D00005994,T0001984,G08,まぐろ刺身,2,1524
D00005995,T0001984,G01,トマト,1,259
D00005996,T0001985,G11,からあげ弁当,3,1752
D00005997,T0001985,G15,チョコレート,2,415
D00005998,T0001985,G02,レタス,3,520
D00005999,T0001985,G05,牛肉（国産）,2,1734
D00006000,T0001985,G07,さば,3,1266
D00006001,T0001986,G04,バナナ,3,654
D00006002,T0001987,G11,からあげ弁当,2,1093
D00006003,T0001987,G02,レタス,2,398
D00006004,T0001987,G10,食パン,1,223
D00006005,T0001987,G04,バナナ,1,192
D00006006,T0001988,G14,ポテトチップス,3,522
D00006007,T0001988,G09,こしひかり5kg,3,7958
D00006008,T0001988,G07,さば,3,1248
D00006009,T0001988,G08,まぐろ刺身,3,2597
D00006010,T0001988,G01,トマト,2,497
D00006011,T0001989,G03,りんご,2,684
D00006012,T0001989,G10,食パン,1,250
D00006013,T0001989,G09,こしひかり5kg,1,2498
D00006014,T0001989,G12,緑茶ペットボトル,2,292
D00006015,T0001990,G14,ポテトチップス,2,355
D00006016,T0001990,G16,しょうゆ,2,729
D00006017,T0001990,G13,コーヒー豆,1,848
D00006018,T0001991,G03,りんご,1,318
D00006019,T0001991,G12,緑茶ペットボトル,1,140
D00006020,T0001992,G15,チョコレート,1,213
D00006021,T0001992,G06,鶏むね肉,3,1308
D00006022,T0001993,G15,チョコレート,2,440
D00006023,T0001993,G12,緑茶ペットボトル,3,441
D00006024,T0001993,G08,まぐろ刺身,1,858
D00006025,T0001994,G12,緑茶ペットボトル,2,294
D00006026,T0001994,G15,チョコレート,2,434
D00006027,T0001994,G08,まぐろ刺身,3,2468
D00006028,T0001994,G14,ポテトチップス,1,169
D00006029,T0001994,G04,バナナ,1,212
D00006030,T0001995,G14,ポテトチップス,2,322
D00006031,T0001996,G05,牛肉（国産）,1,999
D00006032,T0001996,G04,バナナ,1,215
D00006033,T0001996,G04,バナナ,2,431
D00006034,T0001997,G01,トマト,3,802
D00006035,T0001997,G01,トマト,1,242
D00006036,T0001997,G06,鶏むね肉,2,897
D00006037,T0001997,G15,チョコレート,1,221
D00006038,T0001998,G06,鶏むね肉,2,861
D00006039,T0001998,G06,鶏むね肉,2,861
D00006040,T0001999,G02,レタス,3,567
D00006041,T0001999,G09,こしひかり5kg,2,5678
D00006042,T0001999,G14,ポテトチップス,3,550
D00006043,T0002000,G04,バナナ,1,208
D00006044,T0002000,G14,ポテトチップス,3,529
D00006045,T0002000,G14,ポテトチップス,2,308
D00006046,T0002000,G11,からあげ弁当,1,564
D00006047,T0002001,G14,ポテトチップス,1,165
D00006048,T0002002,G03,りんご,3,993
D00006049,T0002002,G12,緑茶ペットボトル,2,288
D00006050,T0002002,G04,バナナ,1,219
D00006051,T0002003,G16,しょうゆ,1,309
D00006052,T0002004,G11,からあげ弁当,3,1694
D00006053,T0002004,G10,食パン,1,234
D00006054,T0002004,G10,食パン,2,443
D00006055,T0002004,G10,食パン,3,676
D00006056,T0002005,G14,ポテトチップス,1,152
D00006057,T0002005,G13,コーヒー豆,2,1574
D00006058,T0002006,G12,緑茶ペットボトル,1,148
D00006059,T0002007,G08,まぐろ刺身,1,843
D00006060,T0002007,G12,緑茶ペットボトル,1,145
D00006061,T0002007,G15,チョコレート,2,470
D00006062,T0002007,G16,しょうゆ,1,351
D00006063,T0002008,G13,コーヒー豆,3,2682
D00006064,T0002008,G06,鶏むね肉,1,485
D00006065,T0002008,G01,トマト,2,569
D00006066,T0002009,G12,緑茶ペットボトル,3,437
D00006067,T0002010,G14,ポテトチップス,1,173
D00006068,T0002010,G04,バナナ,2,413
D00006069,T0002010,G01,トマト,3,789
D00006070,T0002010,G13,コーヒー豆,2,1718
D00006071,T0002011,G14,ポテトチップス,1,156
D00006072,T0002011,G12,緑茶ペットボトル,3,434
D00006073,T0002011,G11,からあげ弁当,2,1079
D00006074,T0002011,G12,緑茶ペットボトル,2,296
D00006075,T0002012,G12,緑茶ペットボトル,3,429
D00006076,T0002012,G11,からあげ弁当,1,603
D00006077,T0002013,G15,チョコレート,3,661
D00006078,T0002013,G09,こしひかり5kg,1,2540
D00006079,T0002013,G04,バナナ,2,454
D00006080,T0002013,G01,トマト,1,286
D00006081,T0002013,G01,トマト,1,250
D00006082,T0002014,G02,レタス,1,193
D00006083,T0002014,G16,しょうゆ,2,713
D00006084,T0002014,G01,トマト,3,856
D00006085,T0002014,G05,牛肉（国産）,1,925
D00006086,T0002014,G01,トマト,1,255
D00006087,T0002015,G14,ポテトチップス,2,321
D00006088,T0002015,G02,レタス,3,616
D00006089,T0002015,G12,緑茶ペットボトル,3,383
D00006090,T0002015,G01,トマト,1,284
D00006091,T0002015,G08,まぐろ刺身,2,1582
D00006092,T0002016,G07,さば,3,1321
D00006093,T0002017,G15,チョコレート,3,638
D00006094,T0002018,G07,さば,3,1306
D00006095,T0002018,G16,しょうゆ,3,917
D00006096,T0002018,G06,鶏むね肉,3,1498
D00006097,T0002019,G13,コーヒー豆,1,800
D00006098,T0002019,G05,牛肉（国産）,3,2580
D00006099,T0002020,G04,バナナ,2,406
D00006100,T0002020,G09,こしひかり5kg,3,8179
D00006101,T0002020,G08,まぐろ刺身,2,1608
D00006102,T0002021,G05,牛肉（国産）,1,1006
D00006103,T0002021,G15,チョコレート,3,649
D00006104,T0002022,G12,緑茶ペットボトル,3,381
D00006105,T0002022,G04,バナナ,3,685
D00006106,T0002022,G15,チョコレート,2,478
D00006107,T0002022,G10,食パン,2,498
D00006108,T0002023,G14,ポテトチップス,2,339
D00006109,T0002023,G01,トマト,2,566
D00006110,T0002023,G04,バナナ,3,683
D00006111,T0002023,G05,牛肉（国産）,1,1016
D00006112,T0002024,G08,まぐろ刺身,2,1828
D00006113,T0002024,G01,トマト,3,843
D00006114,T0002025,G09,こしひかり5kg,3,8497
D00006115,T0002025,G01,トマト,2,565
D00006116,T0002025,G01,トマト,2,554
D00006117,T0002025,G02,レタス,1,202
D00006118,T0002026,G12,緑茶ペットボトル,2,292
D00006119,T0002027,G04,バナナ,3,603
D00006120,T0002027,G02,レタス,3,620
D00006121,T0002027,G10,食パン,2,433
D00006122,T0002027,G04,バナナ,3,622
D00006123,T0002028,G03,りんご,2,624
D00006124,T0002028,G07,さば,1,448
D00006125,T0002028,G14,ポテトチップス,1,165
D00006126,T0002028,G03,りんご,1,295
D00006127,T0002028,G15,チョコレート,1,228
D00006128,T0002029,G02,レタス,3,595
D00006129,T0002030,G02,レタス,2,392
D00006130,T0002031,G08,まぐろ刺身,2,1704
D00006131,T0002031,G06,鶏むね肉,2,909
D00006132,T0002032,G04,バナナ,3,671
D00006133,T0002032,G01,トマト,3,827
D00006134,T0002032,G07,さば,3,1352
D00006135,T0002032,G01,トマト,2,486
D00006136,T0002033,G12,緑茶ペットボトル,1,129
D00006137,T0002033,G14,ポテトチップス,1,175
D00006138,T0002033,G02,レタス,2,398
D00006139,T0002033,G14,ポテトチップス,2,351
D00006140,T0002034,G10,食パン,3,676
D00006141,T0002034,G04,バナナ,3,634
D00006142,T0002035,G04,バナナ,3,578
D00006143,T0002036,G10,食パン,2,444
D00006144,T0002036,G05,牛肉（国産）,3,3065
D00006145,T0002036,G02,レタス,2,352
D00006146,T0002036,G03,りんご,2,589
D00006147,T0002036,G01,トマト,3,747
D00006148,T0002037,G03,りんご,3,856
D00006149,T0002037,G10,食パン,3,742
D00006150,T0002037,G12,緑茶ペットボトル,3,427
D00006151,T0002037,G11,からあげ弁当,3,1627
D00006152,T0002038,G16,しょうゆ,1,364
D00006153,T0002038,G04,バナナ,1,217
D00006154,T0002039,G12,緑茶ペットボトル,3,413
D00006155,T0002040,G13,コーヒー豆,2,1536
D00006156,T0002040,G02,レタス,2,361
D00006157,T0002040,G10,食パン,3,748
D00006158,T0002040,G05,牛肉（国産）,1,869
D00006159,T0002040,G02,レタス,1,184
D00006160,T0002041,G11,からあげ弁当,1,541
D00006161,T0002041,G02,レタス,3,602
D00006162,T0002041,G09,こしひかり5kg,2,5021
D00006163,T0002041,G08,まぐろ刺身,2,1773
D00006164,T0002042,G06,鶏むね肉,1,457
D00006165,T0002042,G07,さば,3,1280
D00006166,T0002042,G03,りんご,1,319
D00006167,T0002042,G11,からあげ弁当,1,614
D00006168,T0002042,G15,チョコレート,1,227
D00006169,T0002043,G11,からあげ弁当,3,1593
D00006170,T0002044,G04,バナナ,2,392
D00006171,T0002045,G05,牛肉（国産）,2,1843
D00006172,T0002045,G14,ポテトチップス,3,469
D00006173,T0002045,G01,トマト,2,533
D00006174,T0002046,G02,レタス,2,394
D00006175,T0002046,G02,レタス,1,203
D00006176,T0002046,G12,緑茶ペットボトル,1,146
D00006177,T0002046,G16,しょうゆ,1,344
D00006178,T0002047,G13,コーヒー豆,1,892
D00006179,T0002047,G05,牛肉（国産）,1,1010
D00006180,T0002047,G12,緑茶ペットボトル,2,285
D00006181,T0002047,G02,レタス,3,615
D00006182,T0002047,G11,からあげ弁当,3,1817
D00006183,T0002048,G14,ポテトチップス,1,177
D00006184,T0002048,G04,バナナ,1,213
D00006185,T0002048,G04,バナナ,3,663
D00006186,T0002048,G12,緑茶ペットボトル,3,420
D00006187,T0002048,G15,チョコレート,3,722
D00006188,T0002049,G13,コーヒー豆,3,2355
D00006189,T0002049,G12,緑茶ペットボトル,2,283
D00006190,T0002050,G04,バナナ,2,431
D00006191,T0002050,G10,食パン,3,743
D00006192,T0002050,G03,りんご,2,649
D00006193,T0002050,G10,食パン,2,478
D00006194,T0002051,G06,鶏むね肉,2,857
D00006195,T0002051,G15,チョコレート,3,692
D00006196,T0002051,G03,りんご,1,302
D00006197,T0002052,G16,しょうゆ,2,688
D00006198,T0002052,G02,レタス,2,371
D00006199,T0002052,G05,牛肉（国産）,3,2788
D00006200,T0002052,G12,緑茶ペットボトル,2,283
D00006201,T0002053,G03,りんご,1,307
D00006202,T0002054,G14,ポテトチップス,1,154
D00006203,T0002054,G08,まぐろ刺身,1,786
D00006204,T0002054,G10,食パン,3,644
D00006205,T0002054,G11,からあげ弁当,3,1643
D00006206,T0002054,G05,牛肉（国産）,1,1023
D00006207,T0002055,G10,食パン,1,209
D00006208,T0002055,G07,さば,2,804
D00006209,T0002055,G11,からあげ弁当,3,1855
D00006210,T0002055,G10,食パン,3,679
D00006211,T0002056,G05,牛肉（国産）,1,1024
D00006212,T0002056,G11,からあげ弁当,2,1256
D00006213,T0002057,G13,コーヒー豆,3,2613
D00006214,T0002057,G04,バナナ,1,201
D00006215,T0002057,G16,しょうゆ,3,932
D00006216,T0002057,G10,食パン,1,214
D00006217,T0002057,G12,緑茶ペットボトル,1,131
D00006218,T0002058,G10,食パン,2,482
D00006219,T0002058,G05,牛肉（国産）,1,980
D00006220,T0002058,G10,食パン,3,663
D00006221,T0002058,G10,食パン,1,247
D00006222,T0002059,G08,まぐろ刺身,3,2429
D00006223,T0002059,G13,コーヒー豆,3,2572
D00006224,T0002059,G01,トマト,1,268
D00006225,T0002060,G15,チョコレート,2,459
D00006226,T0002061,G01,トマト,1,262
D00006227,T0002061,G12,緑茶ペットボトル,2,249
D00006228,T0002061,G04,バナナ,2,380
D00006229,T0002062,G06,鶏むね肉,3,1297
D00006230,T0002062,G14,ポテトチップス,3,483
D00006231,T0002063,G02,レタス,1,197
D00006232,T0002063,G07,さば,1,424
D00006233,T0002064,G09,こしひかり5kg,3,7525
D00006234,T0002064,G02,レタス,3,561
D00006235,T0002065,G02,レタス,2,346
D00006236,T0002065,G08,まぐろ刺身,3,2649
D00006237,T0002065,G01,トマト,2,572
D00006238,T0002065,G11,からあげ弁当,2,1224
D00006239,T0002066,G06,鶏むね肉,1,458
D00006240,T0002066,G03,りんご,2,606
D00006241,T0002066,G12,緑茶ペットボトル,1,147
D00006242,T0002067,G15,チョコレート,2,474
D00006243,T0002067,G06,鶏むね肉,3,1283
D00006244,T0002067,G06,鶏むね肉,3,1366
D00006245,T0002067,G01,トマト,3,796
D00006246,T0002067,G10,食パン,3,663
D00006247,T0002068,G11,からあげ弁当,1,630
D00006248,T0002068,G06,鶏むね肉,3,1429
D00006249,T0002068,G02,レタス,2,369
D00006250,T0002068,G04,バナナ,1,211
D00006251,T0002069,G11,からあげ弁当,1,534
D00006252,T0002069,G08,まぐろ刺身,2,1705
D00006253,T0002069,G02,レタス,3,530
D00006254,T0002069,G16,しょうゆ,1,355
D00006255,T0002069,G04,バナナ,2,413
D00006256,T0002070,G09,こしひかり5kg,1,2627
D00006257,T0002070,G12,緑茶ペットボトル,2,283
D00006258,T0002070,G03,りんご,1,307
D00006259,T0002070,G14,ポテトチップス,1,176
D00006260,T0002070,G06,鶏むね肉,3,1384
D00006261,T0002071,G01,トマト,2,505
D00006262,T0002071,G05,牛肉（国産）,2,1948
D00006263,T0002072,G10,食パン,1,236
D00006264,T0002072,G10,食パン,1,231
D00006265,T0002072,G03,りんご,3,915
D00006266,T0002072,G11,からあげ弁当,2,1172
D00006267,T0002073,G02,レタス,3,540
D00006268,T0002073,G10,食パン,3,743
D00006269,T0002073,G01,トマト,2,486
D00006270,T0002073,G02,レタス,1,195
D00006271,T0002073,G10,食パン,2,430
D00006272,T0002074,G10,食パン,2,431
D00006273,T0002075,G02,レタス,1,189
D00006274,T0002075,G01,トマト,2,553
D00006275,T0002075,G11,からあげ弁当,1,538
D00006276,T0002075,G11,からあげ弁当,3,1669
